,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
6794,FIFA 21,"PC, Xbox",Sim,Electronic Arts,Electronic Arts,22,1,2020,10,1,0.7329545454545454,0.1223404255319149,0.5921052631578947,0.09918777281957127,0,438,909,11,41
6795,Dragon Age: Inquisition - Trespasser,PC,Role-Playing,BioWare,BioWare,1,0,2015,9,3,0.75,0.7872340425531916,0.7142857142857143,0.708029197080292,1,166,337,9,34
6796,Fantasia: Music Evolved,Xbox,Action,Harmonix Music Systems,Disney Interactive Studios,1,0,2014,10,2,0.75,0.7553191489361704,0.7083333333333334,0.7142857142857143,1,394,1266,0,48
6797,Outpost Kaloki X,Xbox,Strategy,NinjaBee,NinjaBee,1,0,2005,11,1,0.75,0.7340425531914895,0.7368421052631579,0.5833333333333334,1,982,1987,14,48
6798,EverQuest Online Adventures: Frontiers,PlayStation,Role-Playing,Sony Online Entertainment,Sony Online Entertainment,1,0,2003,11,3,0.75,0.8404255319148937,0.75,0.8,1,1331,2720,9,42
6799,Monster Rancher 4,PlayStation,Strategy,Tecmo,Tecmo,2,0,2003,11,1,0.75,0.872340425531915,0.6666666666666666,0.8461538461538461,1,1431,2933,14,42
6800,MoonBase Commander,PC,General,Humongous Entertainment,Atari,4,1,2002,8,1,0.75,0.6702127659574468,0.7692307692307693,0.6363636363636364,1,112,1345,5,34
6801,GT Advance 2: Rally Racing,Nintendo,Racing,MTO,THQ,2,0,2002,6,1,0.75,0.6276595744680852,0.5,0.2,1,1409,1691,8,0
6802,Monster Rancher 3,PlayStation,Strategy,Tecmo,Tecmo,2,0,2001,9,1,0.75,0.8829787234042554,0.5384615384615384,0.8333333333333334,1,1431,2933,14,42
6803,The Last Blade 2: Heart of the Samurai,Old Platform,Action,SNK,Agetec Inc.,1,0,2001,8,3,0.75,0.8404255319148937,0.5714285714285714,0.8666666666666667,0,62,2526,0,22
