,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
5113,Atelier Mysterious Trilogy Deluxe Pack,Nintendo,Miscellaneous,Gust,Koei Tecmo Games,1,0,2021,4,3,0.8068181818181819,0.723404255319149,0.8571428571428571,0.7,1,506,807,6,0
5114,Gears of War: Ultimate Edition,Xbox,Action,Splash Damage,Microsoft Game Studios,8,1,2015,8,4,0.8068181818181819,0.7872340425531916,0.9324324324324325,0.7297297297297297,1,577,1741,0,45
5115,Islets,Nintendo,Action,Kyle Thompson,Armor Games,1,0,2022,8,2,0.8068181818181819,0.7012011581983197,0.8888888888888888,1.0,1,68,1029,0,0
5116,Tom Clancy's Rainbow Six Vegas 2,"PlayStation, Xbox",Action,Ubisoft Montreal,Ubisoft,2,0,2008,3,4,0.8011363636363638,0.8031914893617023,0.884469696969697,0.7053771471247199,0,948,1988,0,42
5117,Command & Conquer Remastered Collection,PC,Miscellaneous,Petroglyph,Electronic Arts,8,1,2020,6,3,0.8068181818181819,0.8936170212765958,0.8275862068965517,0.865979381443299,1,290,1391,6,31
5118,Freedom Finger,PlayStation,Action,Wide Right Interactive,Wide Right Interactive,1,0,2020,3,4,0.8068181818181819,0.7765957446808511,1.0,0.8095238095238095,1,996,2092,0,39
5119,The Book of Unwritten Tales,PC,General,KING Art,The Adventure Company,1,0,2011,10,3,0.8068181818181819,0.8510638297872343,0.875,0.7926829268292683,1,901,986,5,31
5120,Ys: Memories of Celceta,PlayStation,Role-Playing,Falcom,XSEED Games,1,0,2013,11,3,0.8068181818181819,0.8936170212765958,0.9464285714285714,0.867595818815331,1,1010,640,9,39
5121,Shadows Over Loathing,PC,Adventure,Asymmetric Publications,Asymmetric Publications,1,0,2022,11,3,0.8068181818181819,0.7012011581983197,1.0,1.0,1,78,148,2,31
5122,Laser League,PlayStation,Sports,roll7,505 Games,6,1,2018,5,2,0.8068181818181819,0.6276595744680852,0.8888888888888888,0.5882352941176471,1,22,2178,13,39
5123,Super Hydorah,"PC, Xbox",Action,Locomalito,Abylight,1,0,2017,9,3,0.8068181818181819,0.7500000000000001,0.8571428571428571,0.6631653562348107,0,33,1070,0,38
5124,BioShock 2: Minerva's Den,Xbox,Action,2K Marin,2K Games,1,0,2010,8,4,0.8068181818181819,0.8936170212765958,0.75,0.8705882352941177,1,11,18,0,45
5125,Street Fighter V: Champion Edition,PlayStation,Action,Capcom,Capcom,2,0,2020,2,3,0.8068181818181819,0.6170212765957448,0.8275862068965517,0.46153846153846156,1,161,324,0,39
5126,KORG DS-10 Synthesizer,Nintendo,Miscellaneous,AQ Interactive,XSEED Games,1,0,2008,11,1,0.8068181818181819,0.8404255319148937,0.8181818181818182,0.8461538461538461,1,1010,51,6,0
5127,Super Robot Taisen: Original Generation 2,Nintendo,Strategy,Banpresto,Atlus Co.,1,0,2006,11,3,0.8068181818181819,0.8617021276595747,0.8571428571428571,0.9,1,82,179,14,0
5128,Watch Dogs 2,"PlayStation, Xbox",Action Adventure,Ubisoft Montreal,Ubisoft,4,1,2016,11,4,0.8011363636363638,0.7925531914893618,0.877511961722488,0.7133969907407407,0,948,1988,1,42
5129,Hand of Fate 2,"PlayStation, Xbox",Miscellaneous,Defiant Development,Defiant Development,1,0,2017,11,3,0.8068181818181819,0.8404255319148938,0.8571428571428571,0.8123167155425219,0,238,482,6,42
5130,Dance Central,Xbox,Action,Harmonix Music Systems,MTV Games,1,0,2010,11,3,0.8068181818181819,0.8191489361702129,0.9047619047619048,0.7738095238095238,1,539,825,0,45
5131,Capitalism II,PC,Strategy,Enlight Software,Ubisoft,1,0,2001,12,1,0.8068181818181819,0.8829787234042554,0.7272727272727273,0.8804347826086957,1,948,607,14,31
5132,Rally Trophy,PC,Racing,Bugbear,JoWooD Entertainment AG,6,1,2001,11,1,0.8068181818181819,0.7127659574468086,1.0,0.6818181818181818,1,489,296,8,31
5133,GT Advance Championship Racing,Nintendo,Racing,MTO,THQ,2,0,2001,6,1,0.8068181818181819,0.8404255319148937,0.7,0.8333333333333334,1,875,1095,8,0
5134,Ridge Racer 64,Nintendo,Arcade,Nintendo,Nintendo,4,1,2000,2,1,0.8068181818181819,0.8297872340425533,0.9166666666666666,0.7307692307692307,1,632,1282,3,0
5135,Pokemon Alpha Sapphire,Nintendo,Role-Playing,Game Freak,Nintendo,4,1,2014,11,1,0.8068181818181819,0.7659574468085107,0.9038461538461539,0.7384428223844283,1,632,728,9,0
5136,Lost Judgment,PlayStation,Action Adventure,SegaSoft,SegaSoft,1,0,2021,9,4,0.8068181818181819,0.8617021276595747,0.8481012658227848,0.848780487804878,1,793,1644,1,39
5137,Stealth Inc 2: A Game of Clones,"Wii, Xbox",Action,Curve Digital,Curve Digital,1,0,2014,10,3,0.8068181818181819,0.7234042553191491,0.8571428571428571,0.5844155844155844,0,211,434,0,44
5138,Dark Souls III: The Ringed City,"PC, PlayStation",Role-Playing,From Software,Bandai Namco Games,1,0,2017,3,4,0.8068181818181819,0.8563829787234045,0.8376623376623377,0.8437725631768953,0,97,688,9,32
5139,Dawn of Discovery,"Nintendo, PC, Wii",General,Blue Byte,Ubisoft,1,0,2009,6,3,0.8030303030303031,0.8368794326241136,0.9245580808080809,0.7946097403644573,0,948,261,5,12
5140,Pinball FX3,Nintendo,Action,Zen Studios,Zen Studios,1,0,2017,12,2,0.8068181818181819,0.797872340425532,0.8333333333333334,0.7636363636363637,1,1024,2134,0,0
5141,Hot Shots Golf: Open Tee 2,PlayStation,Arcade,Clap Hanz,SCEA,8,1,2008,6,1,0.8068181818181819,0.8297872340425533,0.9047619047619048,0.7857142857142857,1,768,366,3,39
5142,SingStar (2008),PlayStation,Action,SCEE London Studio,SCEA,8,1,2008,5,3,0.8068181818181819,0.6170212765957448,0.9583333333333334,0.5,1,768,1601,0,39
5143,L.A. Noire: The VR Case Files,PC,Adventure,Rockstar Games,Rockstar Games,1,0,2017,12,4,0.8068181818181819,0.6063829787234043,0.8461538461538461,0.4642857142857143,1,763,1567,2,31
5144,City of Villains,PC,Role-Playing,Paragon Studios,NCSOFT,1,0,2005,10,3,0.8068181818181819,0.7765957446808511,0.9,0.6904761904761905,1,605,1376,9,31
5145,Cave Story 3D,Nintendo,Action,Nicalis,NIS America,1,0,2011,11,2,0.8068181818181819,0.8297872340425533,0.896551724137931,0.7945205479452054,1,608,1273,0,0
5146,Hatsune Miku: Project Diva MegaMix+,PC,Action,Sega AM2,Sega,1,0,2022,5,3,0.8068181818181819,0.6382978723404256,0.9285714285714286,0.6666666666666666,1,791,1642,0,31
5147,Kaze and the Wild Masks,PC,Action,Vox Game Studio,Soedesco,1,0,2021,3,3,0.8068181818181819,0.797872340425532,1.0,0.7209302325581395,1,824,2065,0,31
5148,The Wolf Among Us: Episode 2 - Smoke and Mirrors,PlayStation,General,Telltale Games,Telltale Games,1,0,2014,2,4,0.8068181818181819,0.8085106382978725,0.8888888888888888,0.7582417582417582,1,895,1873,5,39
5149,Kentucky Route Zero - Act II,PC,General,Cardboard Computer,Cardboard Computer,1,0,2013,5,3,0.8068181818181819,0.7765957446808511,0.7142857142857143,0.7115384615384616,1,164,331,5,31
5150,Minecraft: Xbox 360 Edition,Xbox,Adventure,4J Studios,Microsoft Game Studios,8,1,2012,5,2,0.8068181818181819,0.7553191489361704,0.8571428571428571,0.6433566433566433,1,577,37,2,45
5151,Dead Space: Extraction,Wii,Action,Eurocom Entertainment Software,Electronic Arts,1,0,2009,9,4,0.8068181818181819,0.8085106382978725,0.881578947368421,0.7663551401869159,1,290,616,0,43
5152,Shadow of the Tomb Raider,Xbox,General,Eidos Montreal,Square Enix,2,0,2018,9,4,0.8068181818181819,0.7659574468085107,0.9107142857142857,0.6677685950413224,1,840,590,5,45
5153,Football Manager 2018,PC,Sim,Sports Interactive,SegaSoft,1,1,2017,11,3,0.8068181818181819,0.6063829787234043,0.9090909090909091,0.45871559633027525,1,793,1744,11,31
5154,Resident Evil: Revelations,Nintendo,Action Adventure,Capcom,Capcom,2,0,2012,2,4,0.8068181818181819,0.872340425531915,0.8717948717948718,0.8528301886792453,1,161,324,1,0
5155,You Don't Know Jack,"PlayStation, Xbox",Miscellaneous,Jellyvision,THQ,4,1,2011,2,3,0.8068181818181819,0.7234042553191491,0.8893280632411067,0.6664167916041979,0,875,964,6,42
5156,Not For Broadcast,PC,Simulation,NotGames,tinyBuild,1,0,2022,1,3,0.8068181818181819,0.8510638297872343,0.9,0.7380952380952381,1,1046,1301,12,31
5157,Sam & Max Save the World Remastered,PC,Adventure,Skunkape Games,Skunkape Games,1,0,2020,12,3,0.8068181818181819,0.5531914893617023,0.8461538461538461,0.5365853658536586,1,813,1691,2,31
5158,Pokemon Ruby Version,Nintendo,Role-Playing,Game Freak,Nintendo,4,1,2003,3,1,0.8068181818181819,0.872340425531915,0.7333333333333333,0.8126721763085399,1,632,728,9,0
5159,MVP Baseball 2003,Xbox,Sim,EA Sports,EA Sports,2,0,2003,3,1,0.8068181818181819,0.7872340425531916,0.7777777777777778,0.7272727272727273,1,278,564,11,45
