,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
4108,Souldiers,"Nintendo, PC, PlayStation","2D, Action, Metroidvania, Platformer",Retro Forge,Plug In Digital,0,0,2022,6,3,0.7310606060606061,0.5921985815602838,0.6552197802197802,0.5,0,1300,2745,120,12
4109,Hero's Hour,PC,"General, Strategy, Turn-Based","Benjamin ""ThingOnItsOwn"" Hauer",Goblinz Studio,0,0,2022,3,3,0.75,0.6170212765957448,0.7142857142857143,0.36363636363636365,1,710,351,1630,39
4110,Heaven's Vault,"Nintendo, PC, PlayStation","Adventure, General",inkle,inkle,0,0,2019,4,3,0.7234848484848486,0.6144874100934262,0.6037851037851037,0.4933523266856601,0,1932,3837,1021,12
4111,Let's Sing Queen,PlayStation,"Action, Music, Rhythm",Ravenscourt,Deep Silver,0,0,2020,10,3,0.75,0.705164357939853,0.75,1.0,1,429,2667,964,47
4112,A Fold Apart,PC,"Adventure, General",Lightning Rod Games,Lightning Rod Games,0,0,2020,4,1,0.75,0.7021276595744682,0.625,0.42857142857142855,1,942,1843,1021,39
4113,My Memory of Us,"Nintendo, PC, PlayStation, Xbox","2D, Action, Platformer",Crunching Koalas,Crunching Koalas,0,0,2018,10,2,0.6761363636363636,0.6329787234042554,0.46339689722042654,0.46626180836707154,0,384,761,124,15
4114,Outlast: Bundle of Terror,Nintendo,"Action Adventure, Survival",Red Barrels,Red Barrels,0,0,2018,2,4,0.75,0.8404255319148937,0.7142857142857143,0.8,1,1367,2695,477,0
4115,Marvel vs. Capcom: Infinite,"PC, PlayStation, Xbox","2D, Action, Fighting",Capcom,Capcom,0,0,2017,9,3,0.7007575757575758,0.5141843971631207,0.48601598173515975,0.36623931623931627,0,287,562,102,43
4116,Attack on Titan,"PlayStation, Xbox","3D, Action, Beat-'Em-Up",Omega Force,Koei Tecmo Games,0,0,2016,8,4,0.7329545454545454,0.723404255319149,0.6508620689655172,0.6212121212121212,0,913,2328,216,50
4117,On Rusty Trails,PC,"2D, Action, Platformer",Black Pants Studio,Black Pants Studio,0,0,2016,6,3,0.75,0.6595744680851064,0.8888888888888888,0.5555555555555556,1,209,416,124,39
4118,Tappingo 2,Nintendo,"General, Miscellaneous, Puzzle",Goodbye Galaxy Games,Goodbye Galaxy Games,0,0,2014,9,1,0.75,0.7553191489361704,0.42857142857142855,0.6566745598693725,1,714,1352,1583,0
4119,3D Classics: Kirby's Adventure,Nintendo,"2D, 2D, Action, Platformer, Platformer",Arika,Nintendo,0,0,2011,11,1,0.75,0.8085106382978725,0.7142857142857143,0.7586206896551724,1,1140,216,48,0
4120,The Void,PC,"Action Adventure, Adventure, General, Survival",Ice-Pick Lodge,ND Games,0,0,2009,12,3,0.75,0.8404255319148937,0.6666666666666666,0.7543859649122807,1,1098,1543,356,39
4121,Rise of Flight: The First Great Air War,PC,"Combat, Flight, Simulation, WWI, WWI",neoqb,777 Studios,0,0,2009,6,2,0.75,0.7765957446808511,0.6428571428571429,0.7023809523809523,1,37,3847,1349,39
4122,Heroes of Might and Magic V,PC,"Fantasy, Fantasy, General, Strategy, Turn-Based",Nival Interactive,Ubisoft,0,0,2006,5,3,0.75,0.8191489361702129,0.7073170731707317,0.745674740484429,1,1764,2253,1452,39
4123,Ultimate Muscle: Legends vs New Generation,Old Platform,"Action, Fighting, Wrestling",Aki Corp.,Bandai,4,1,2003,6,3,0.75,0.7127659574468086,0.7142857142857143,0.75,0,162,134,825,26
4124,Smuggler's Run 2: Hostile Territory,PlayStation,"Driving, Mission-based",Rockstar San Diego,Rockstar Games,2,0,2001,10,3,0.75,0.7659574468085107,0.6923076923076923,0.6923076923076923,1,1417,2788,1430,47
4125,You Don't Know Jack: 5th Dementia,PC,"Miscellaneous, Trivia / Game Show, Trivia / Game Show",Jellyvision,Sierra Entertainment,3,0,2000,10,3,0.75,0.6702127659574468,0.75,0.5714285714285714,1,1490,1668,1714,39
4126,Retro Game Challenge,Nintendo,"Action, General, General, Miscellaneous, Trivia / Game Show",indieszero,XSEED Games,0,0,2009,2,1,0.75,0.7021276595744682,0.7666666666666667,0.7058823529411765,1,1869,3836,872,0
4127,DK: Jungle Climber,Nintendo,"Action, General, General",Paon Corporation,Nintendo,4,1,2007,9,1,0.75,0.6808510638297873,0.7777777777777778,0.4782608695652174,1,1140,2406,857,0
4128,Virtua Fighter 5 Ultimate Showdown,PlayStation,"3D, Action, Fighting",Sega,Sega,16,1,2021,6,3,0.75,0.6702127659574468,0.6875,0.4727272727272727,1,1472,2906,231,47
4129,Solasta: Crown of the Magister,PC,"Action RPG, Role-Playing, Strategy, Tactics, Turn-Based",Tactical Adventures,Tactical Adventures,0,0,2021,5,3,0.75,0.7340425531914895,0.6875,0.6447368421052632,1,1634,3264,517,39
