,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
5374,The Swords of Ditto,"PC, PlayStation","action rpg, role-playing",One Bit Beyond,Devolver Digital,0,0,2018,4,2,0.7159090909090909,0.6276595744680852,0.4907407407407407,0.4722222222222222,0,413,2156,364,40
5375,The Fall Part 2: Unbound,"Nintendo, PC, PlayStation, Xbox","action adventure, general",Over The Moon,Over The Moon,0,0,2018,2,3,0.6931818181818182,0.797872340425532,0.3904761904761904,0.7204173295770087,0,1129,2184,275,15
5376,Shantae,Nintendo,"2d, action, platformer",WayForward,WayForward,0,0,2021,4,2,0.7159090909090909,0.7872340425531916,0.5833333333333334,0.75,1,1707,3387,61,0
5377,Fort Triumph,PC,"general, strategy, tactics, turn-based",Fort Triumph LTD,Fort Triumph LTD,0,0,2020,4,3,0.7159090909090909,0.7446808510638299,0.5,0.6086956521739131,1,567,1091,1197,39
5378,Tachyon Project,"PlayStation, Xbox","action, shoot-'em-up, shooter, top-down",Eclipse Games,Eclipse Games,0,0,2015,7,1,0.6988636363636365,0.6542553191489362,0.42272727272727273,0.5416666666666666,0,476,933,714,50
5379,Oceanhorn: Monster of Uncharted Seas,"Nintendo, PC, PlayStation, Xbox","action adventure, open-world",Cornfox & Bros.,Cornfox & Bros.,0,0,2015,3,3,0.6619318181818182,0.7925531914893619,0.47159090909090906,0.7011782535976083,0,336,656,325,15
5380,The Dark Pictures Anthology: House of Ashes,"PC, PlayStation, Xbox","action adventure, survival",Supermassive Games,Bandai Namco Games,2,0,2021,10,4,0.7073863636363638,0.8271276595744681,0.6172413793103448,0.782041800414063,0,151,2970,335,43
5381,Giana Sisters: Twisted Dreams - Owltimate Edition,Nintendo,"2d, action, platformer",Black Forest Games,Black Forest Games,0,0,2018,9,1,0.7159090909090909,0.7446808510638299,0.7272727272727273,0.5333333333333333,1,190,370,61,0
5382,Wolfenstein,"PC, PlayStation, Xbox","action, arcade, first-person, historic, shooter",id Software,Activision,12,1,2009,8,4,0.6969696969696969,0.8191489361702128,0.5517368810051737,0.6680660899037446,0,59,3536,502,43
5383,The Lord of the Rings: The Third Age,"Old Platform, PlayStation","console-style rpg, role-playing",EA Games,EA Games,2,0,2004,11,3,0.7102272727272727,0.824468085106383,0.5228571428571429,0.7234195402298851,0,467,906,1045,33
5384,Amplitude,PlayStation,"action, miscellaneous, music, rhythm",Harmonix Music Systems,Harmonix Music Systems,0,0,2016,1,1,0.7159090909090909,0.7340425531914895,0.5084745762711864,0.5686274509803921,1,716,1319,690,47
5385,Just Dance 2,Wii,"action, dancing, miscellaneous, rhythm",Ubisoft,Ubisoft,0,0,2010,10,2,0.7159090909090909,0.7340425531914895,0.5416666666666666,0.4838709677419355,1,1641,3240,598,51
5386,"Warhammer 40,000: Darktide",PC,"action, arcade, first-person, general, shooter, strategy",Fatshark,Fatshark,4,1,2022,11,4,0.7159090909090909,0.46808510638297884,0.5373134328358209,0.3157894736842105,1,535,1033,498,39
5387,The Secret World,PC,"massively multiplayer, massively multiplayer online, modern, role-playing",Funcom,Electronic Arts,0,1,2012,7,4,0.7159090909090909,0.8510638297872343,0.5818181818181818,0.7891104294478528,1,485,1131,1236,39
5388,Army of Two: The 40th Day,"PlayStation, Xbox","action, arcade, modern, shooter, third-person",EA Montreal,Electronic Arts,10,1,2010,1,4,0.6174242424242424,0.6985815602836881,0.36401309660803327,0.5257783312577833,0,485,910,541,50
5389,Sonic Chronicles: The Dark Brotherhood,Nintendo,"console-style rpg, japanese-style, role-playing",BioWare,Sega,1,0,2008,9,1,0.7159090909090909,0.7021276595744682,0.45454545454545453,0.584,1,1373,355,1042,0
5390,Dread Templar,PC,"action, arcade, first-person, shooter",T19 Games,T19 Games,0,0,2021,8,3,0.7159090909090909,0.6808510638297873,0.625,0.5714285714285714,1,1507,2991,522,39
5391,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PlayStation,"action, modern, shooter, tactical, third-person",Slant Six,SCEA,0,0,2010,2,3,0.7159090909090909,0.8297872340425533,0.6078431372549019,0.8333333333333334,1,1332,2779,696,47
5392,Bomberman Land Touch! 2,Nintendo,"action, general, miscellaneous, puzzle",Hudson Soft,Hudson Entertainment,8,1,2008,1,1,0.7159090909090909,0.7340425531914895,0.47619047619047616,0.5,1,754,1394,647,0
